gene_row_idx,gene_identifier,degree,degree_bin
730,1019,1112,9
731,1020,629,9
732,1021,1086,9
733,1022,576,9
734,1024,365,9
735,1025,417,9
736,1026,1486,9
737,1027,890,9
738,1028,242,8
739,1029,667,9
740,1030,212,8
741,1031,341,9
742,1032,205,7
743,1033,302,8
744,1036,212,8
745,1038,15,1
746,1039,168,7
747,1040,112,5
748,1041,48,2
749,1043,82,4
750,1044,175,7
751,1045,323,8
752,1046,63,3
753,1047,64,3
754,1048,98,5
755,1050,517,9
756,1051,994,9
757,1052,603,9
758,1053,159,7
759,1054,406,9
760,1056,137,6
761,1058,301,8
762,1059,154,7
763,1060,110,5
764,1062,542,9
765,1063,319,8
766,1066,1034,9
767,1068,55,3
768,1069,165,7
769,1070,226,8
770,1071,155,7
771,1072,457,9
772,1073,173,7
773,1075,181,7
774,1080,737,9
775,1081,105,5
776,1082,27,1
777,1084,23,1
778,1087,22,1
779,1088,57,3
780,1089,15,1
781,1101,71,4
782,1102,90,4
783,1103,154,7
784,1104,299,8
785,1105,197,7
786,1106,128,6
787,1107,345,9
788,1108,357,9
789,1109,125,6
790,1111,435,9
791,1112,142,6
792,1113,198,7
793,1114,149,6
794,1116,144,6
795,1117,59,3
796,1118,65,3
797,1119,230,8
798,1120,136,6
799,1121,105,5
800,1122,65,3
801,1123,362,9
802,1124,59,3
803,1128,240,8
804,1129,208,8
805,1130,201,7
806,1131,325,8
807,1132,115,5
808,1133,109,5
809,1134,124,6
810,1135,97,5
811,1136,174,7
812,1137,193,7
813,1138,109,5
814,1139,196,7
815,1140,115,5
816,1141,282,8
817,1142,77,4
818,1143,127,6
819,1144,103,5
820,1145,73,4
821,1146,96,5
822,1147,686,9
823,1149,77,4
824,1152,327,9
825,1153,469,9
826,1154,370,9
827,1155,176,7
828,1158,88,4
829,1159,111,5
830,1160,104,5
831,1161,110,5
832,1163,240,8
833,1164,162,7
834,1173,427,9
835,1174,192,7
836,1175,266,8
837,1176,103,5
838,1178,74,4
839,1179,71,4
840,1180,63,3
841,1181,89,4
842,1182,386,9
843,1183,120,6
844,1184,182,7
845,1185,119,6
846,1186,142,6
847,1187,59,3
848,1188,74,4
849,1191,472,9
850,1192,159,7
851,1193,167,7
852,1195,186,7
853,1196,198,7
854,1198,187,7
855,1200,204,7
856,1201,328,9
857,1203,70,3
858,1207,268,8
859,1208,50,2
860,1209,119,6
861,1211,299,8
862,1212,509,9
863,1213,766,9
864,1215,132,6
865,1230,237,8
866,1232,130,6
867,1233,75,4
868,1234,272,8
869,1235,117,5
870,1236,369,9
871,1237,68,3
872,1238,145,6
873,1240,81,4
874,1241,79,4
875,1244,249,8
876,1258,117,5
877,1259,102,5
878,1260,100,5
879,1261,113,5
880,1262,84,4
881,1263,249,8
882,1264,149,6
883,1265,131,6
884,1266,131,6
885,1267,224,8
886,1268,244,8
887,1269,91,4
888,1270,118,6
889,1271,120,6
890,1272,180,7
891,1277,352,9
892,1278,255,8
893,1280,198,7
894,1281,259,8
895,1282,288,8
896,1284,263,8
897,1285,195,7
898,1286,134,6
899,1287,332,9
900,1288,101,5
901,1289,209,8
902,1290,152,7
903,1291,185,7
904,1292,168,7
905,1293,179,7
906,1294,188,7
907,1295,142,6
908,1296,124,6
909,1297,86,4
910,1298,105,5
911,1299,138,6
912,1300,55,3
913,1301,781,9
914,1302,75,4
915,1303,99,5
916,1305,100,5
917,1306,109,5
918,1307,149,6
919,1308,120,6
920,1310,52,3
921,1311,238,8
922,1312,308,8
923,1314,655,9
924,1315,271,8
925,1316,387,9
926,1317,144,6
927,1318,149,6
928,1325,49,2
929,1326,422,9
930,1327,221,8
931,1329,151,6
