lv_id,null_type,feature_idx,target_set_id,target_set_label,node_type,metapath,n_eff,null_mean,null_std,exceed_count,p_empirical,d_mean,d_median,d_iqr
LV57,random,9,hypothyroidism,Hypothyroidism disease term,Disease,GuAlD,20,2.089265716075897,0.24856310123367864,20,1.0,-0.8539708316326141,-0.7575730383396149,0.40411561727523804
LV603,permuted,10,neutrophil_bp,Neutrophil biological process terms,Biological Process,G<rGpBP,20,0.06385756861418485,0.04102705122306221,18,0.9047619047619048,-0.24688970023079923,-0.2471863329410553,0.3775709383189678
LV603,permuted,11,neutrophil_bp,Neutrophil biological process terms,Biological Process,GcGpBP,20,0.0,0.0,20,1.0,,,
LV603,permuted,12,neutrophil_bp,Neutrophil biological process terms,Biological Process,GdAdGpBP,20,0.5468745946884156,0.08840918647149379,8,0.42857142857142855,0.15043763213325292,0.15607504546642303,0.3846168937161565
LV603,permuted,13,neutrophil_bp,Neutrophil biological process terms,Biological Process,GiGpBP,20,0.1537362763658166,0.06789256158024662,15,0.7619047619047619,-0.20679628532379865,-0.16332507133483887,0.3804181506857276
LV603,permuted,14,neutrophil_bp,Neutrophil biological process terms,Biological Process,Gr>GpBP,20,0.1073764722328633,0.0724144826904186,8,0.42857142857142855,0.03456174018792808,0.04124971851706505,0.23459395579993725
LV603,random,10,neutrophil_bp,Neutrophil biological process terms,Biological Process,G<rGpBP,20,0.06337931752204895,0.07304415415584176,12,0.6190476190476191,-0.01978218965232372,-0.14078713953495026,0.6422521620988846
LV603,random,11,neutrophil_bp,Neutrophil biological process terms,Biological Process,GcGpBP,20,0.002510555833578109,0.011227547010378603,20,1.0,-0.3535533845424652,-0.3535533845424652,0.0
LV603,random,12,neutrophil_bp,Neutrophil biological process terms,Biological Process,GdAdGpBP,50,0.5296977174282071,0.1109636412921429,14,0.29411764705882354,0.16246786314994097,0.13282859325408936,0.3355024615302682
LV603,random,13,neutrophil_bp,Neutrophil biological process terms,Biological Process,GiGpBP,20,0.066491210879758,0.07117386302030951,5,0.2857142857142857,0.13461083779111505,0.14606837183237076,0.3463298543356359
LV603,random,14,neutrophil_bp,Neutrophil biological process terms,Biological Process,Gr>GpBP,20,0.06788149662315845,0.07930420189767547,5,0.2857142857142857,0.211945684440434,0.4314171224832535,0.35744699370115995
