lv_id,target_set_id,target_set_label,node_type,metapath,metapath_g_orientation,target_id,target_name,gene_identifier,gene_symbol,pair_rank,path_rank,path_score,path_nodes_ids,path_nodes_names
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAdG,GdAlD,DOID:1459,hypothyroidism,267,AMFR,3,1,0.1372507583739288,DOID:1459|UBERON:0002037|267,hypothyroidism|cerebellum|AMFR
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAdG,GdAlD,DOID:1459,hypothyroidism,267,AMFR,3,2,0.12375739717215146,DOID:1459|UBERON:0000948|267,hypothyroidism|heart|AMFR
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAdG,GdAlD,DOID:1459,hypothyroidism,267,AMFR,3,3,0.11426533187322659,DOID:1459|UBERON:0002369|267,hypothyroidism|adrenal gland|AMFR
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAeG,GeAlD,DOID:1459,hypothyroidism,133,ADM,1,1,0.23103257620595927,DOID:1459|UBERON:0001021|133,hypothyroidism|nerve|ADM
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAeG,GeAlD,DOID:1459,hypothyroidism,133,ADM,1,2,0.12401272635508673,DOID:1459|UBERON:0004535|133,hypothyroidism|cardiovascular system|ADM
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAeG,GeAlD,DOID:1459,hypothyroidism,133,ADM,1,3,0.11371681934875243,DOID:1459|UBERON:0001235|133,hypothyroidism|adrenal cortex|ADM
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAeG,GeAlD,DOID:1459,hypothyroidism,267,AMFR,2,1,0.11371681934875243,DOID:1459|UBERON:0001235|267,hypothyroidism|adrenal cortex|AMFR
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAeG,GeAlD,DOID:1459,hypothyroidism,267,AMFR,2,2,0.10861965501038574,DOID:1459|UBERON:0000991|267,hypothyroidism|gonad|AMFR
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAeG,GeAlD,DOID:1459,hypothyroidism,267,AMFR,2,3,0.10218982750806416,DOID:1459|UBERON:0000007|267,hypothyroidism|pituitary gland|AMFR
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAeG,GeAlD,DOID:1459,hypothyroidism,421,ARVCF,3,1,0.09966286084401071,DOID:1459|UBERON:0000178|421,hypothyroidism|blood|ARVCF
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAeG,GeAlD,DOID:1459,hypothyroidism,421,ARVCF,3,2,0.09733935160733033,DOID:1459|UBERON:0000992|421,hypothyroidism|female gonad|ARVCF
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAeG,GeAlD,DOID:1459,hypothyroidism,421,ARVCF,3,3,0.09710698722479884,DOID:1459|UBERON:0002107|421,hypothyroidism|liver|ARVCF
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAuG,GuAlD,DOID:1459,hypothyroidism,421,ARVCF,1,1,0.1408196984393089,DOID:1459|UBERON:0002037|421,hypothyroidism|cerebellum|ARVCF
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAuG,GuAlD,DOID:1459,hypothyroidism,421,ARVCF,1,2,0.1183798815964109,DOID:1459|UBERON:0002369|421,hypothyroidism|adrenal gland|ARVCF
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAuG,GuAlD,DOID:1459,hypothyroidism,970,CD70,2,1,0.1408196984393089,DOID:1459|UBERON:0002037|970,hypothyroidism|cerebellum|CD70
