feature_idx,target_set_id,target_set_label,node_type,target_abbrev,metapath,n_targets,target_ids
86,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDrDlA,1,UBERON:0001013
87,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDuGdA,1,UBERON:0001013
88,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDuGeA,1,UBERON:0001013
89,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDuGuA,1,UBERON:0001013
90,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAdGdA,1,UBERON:0001013
91,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAdGeA,1,UBERON:0001013
92,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAdGuA,1,UBERON:0001013
93,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAeGdA,1,UBERON:0001013
94,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAeGeA,1,UBERON:0001013
95,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAeGuA,1,UBERON:0001013
96,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAlDlA,1,UBERON:0001013
97,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAuGdA,1,UBERON:0001013
98,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAuGeA,1,UBERON:0001013
99,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GeAuGuA,1,UBERON:0001013
100,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiG<rGdA,1,UBERON:0001013
101,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiG<rGeA,1,UBERON:0001013
102,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiG<rGuA,1,UBERON:0001013
103,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGaDlA,1,UBERON:0001013
104,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGcGdA,1,UBERON:0001013
105,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGcGeA,1,UBERON:0001013
106,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGcGuA,1,UBERON:0001013
107,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGdA,1,UBERON:0001013
108,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGdDlA,1,UBERON:0001013
109,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGeA,1,UBERON:0001013
110,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGiGdA,1,UBERON:0001013
111,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGiGeA,1,UBERON:0001013
112,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGiGuA,1,UBERON:0001013
113,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGr>GdA,1,UBERON:0001013
114,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGr>GeA,1,UBERON:0001013
115,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGr>GuA,1,UBERON:0001013
116,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGuA,1,UBERON:0001013
117,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GiGuDlA,1,UBERON:0001013
118,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpBPpGdA,1,UBERON:0001013
119,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpBPpGeA,1,UBERON:0001013
120,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpBPpGuA,1,UBERON:0001013
121,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpCCpGdA,1,UBERON:0001013
122,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpCCpGeA,1,UBERON:0001013
123,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpCCpGuA,1,UBERON:0001013
124,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpMFpGdA,1,UBERON:0001013
125,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpMFpGeA,1,UBERON:0001013
126,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpMFpGuA,1,UBERON:0001013
127,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpPWpGdA,1,UBERON:0001013
128,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpPWpGeA,1,UBERON:0001013
129,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GpPWpGuA,1,UBERON:0001013
130,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>G<rGdA,1,UBERON:0001013
131,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>G<rGeA,1,UBERON:0001013
132,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>G<rGuA,1,UBERON:0001013
133,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GaDlA,1,UBERON:0001013
134,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GcGdA,1,UBERON:0001013
135,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GcGeA,1,UBERON:0001013
136,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GcGuA,1,UBERON:0001013
137,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GdA,1,UBERON:0001013
138,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GdDlA,1,UBERON:0001013
139,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GeA,1,UBERON:0001013
140,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GiGdA,1,UBERON:0001013
141,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GiGeA,1,UBERON:0001013
142,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GiGuA,1,UBERON:0001013
143,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>Gr>GdA,1,UBERON:0001013
144,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>Gr>GeA,1,UBERON:0001013
145,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>Gr>GuA,1,UBERON:0001013
146,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GuA,1,UBERON:0001013
147,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,Gr>GuDlA,1,UBERON:0001013
148,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAdGdA,1,UBERON:0001013
149,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAdGeA,1,UBERON:0001013
150,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAdGuA,1,UBERON:0001013
151,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAeGdA,1,UBERON:0001013
152,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAeGeA,1,UBERON:0001013
153,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAeGuA,1,UBERON:0001013
154,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAlDlA,1,UBERON:0001013
155,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAuGdA,1,UBERON:0001013
156,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAuGeA,1,UBERON:0001013
157,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuAuGuA,1,UBERON:0001013
158,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCbGdA,1,UBERON:0001013
159,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCbGeA,1,UBERON:0001013
160,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCbGuA,1,UBERON:0001013
161,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCdGdA,1,UBERON:0001013
162,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCdGeA,1,UBERON:0001013
163,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCdGuA,1,UBERON:0001013
164,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCpDlA,1,UBERON:0001013
165,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCtDlA,1,UBERON:0001013
166,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCuGdA,1,UBERON:0001013
167,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCuGeA,1,UBERON:0001013
168,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuCuGuA,1,UBERON:0001013
169,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDaGdA,1,UBERON:0001013
170,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDaGeA,1,UBERON:0001013
171,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDaGuA,1,UBERON:0001013
172,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDdGdA,1,UBERON:0001013
173,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDdGeA,1,UBERON:0001013
174,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDdGuA,1,UBERON:0001013
175,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDlA,1,UBERON:0001013
176,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDrDlA,1,UBERON:0001013
177,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDuGdA,1,UBERON:0001013
178,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDuGeA,1,UBERON:0001013
179,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GuDuGuA,1,UBERON:0001013
180,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rG<rGaD,1,DOID:1459
181,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rG<rGdD,1,DOID:1459
182,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rG<rGuD,1,DOID:1459
183,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGaD,1,DOID:1459
184,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGaDrD,1,DOID:1459
185,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGbCpD,1,DOID:1459
186,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGbCtD,1,DOID:1459
187,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGcGaD,1,DOID:1459
188,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGcGdD,1,DOID:1459
189,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGcGuD,1,DOID:1459
190,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGdAlD,1,DOID:1459
191,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGdCpD,1,DOID:1459
192,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGdCtD,1,DOID:1459
193,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGdD,1,DOID:1459
194,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGdDrD,1,DOID:1459
195,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGeAlD,1,DOID:1459
196,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGiGaD,1,DOID:1459
197,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGiGdD,1,DOID:1459
198,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGiGuD,1,DOID:1459
199,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGr>GaD,1,DOID:1459
200,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGr>GdD,1,DOID:1459
201,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGr>GuD,1,DOID:1459
202,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGuAlD,1,DOID:1459
203,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGuCpD,1,DOID:1459
204,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGuCtD,1,DOID:1459
205,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGuD,1,DOID:1459
206,hypothyroidism,Hypothyroidism disease term,Disease,D,G<rGuDrD,1,DOID:1459
207,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDaGaD,1,DOID:1459
208,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDaGdD,1,DOID:1459
209,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDaGuD,1,DOID:1459
210,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDdGaD,1,DOID:1459
211,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDdGdD,1,DOID:1459
212,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDdGuD,1,DOID:1459
213,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDlAlD,1,DOID:1459
214,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDpCpD,1,DOID:1459
215,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDpCtD,1,DOID:1459
216,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDpSpD,1,DOID:1459
217,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDrD,1,DOID:1459
218,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDrDrD,1,DOID:1459
219,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDtCpD,1,DOID:1459
220,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDtCtD,1,DOID:1459
221,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDuGaD,1,DOID:1459
222,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDuGdD,1,DOID:1459
223,hypothyroidism,Hypothyroidism disease term,Disease,D,GaDuGuD,1,DOID:1459
224,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCbGaD,1,DOID:1459
225,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCbGdD,1,DOID:1459
226,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCbGuD,1,DOID:1459
227,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCdGaD,1,DOID:1459
228,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCdGdD,1,DOID:1459
229,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCdGuD,1,DOID:1459
230,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCpD,1,DOID:1459
231,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCpDrD,1,DOID:1459
232,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCrCpD,1,DOID:1459
233,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCrCtD,1,DOID:1459
234,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCtD,1,DOID:1459
235,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCtDrD,1,DOID:1459
236,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCuGaD,1,DOID:1459
237,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCuGdD,1,DOID:1459
238,hypothyroidism,Hypothyroidism disease term,Disease,D,GbCuGuD,1,DOID:1459
239,hypothyroidism,Hypothyroidism disease term,Disease,D,GcG<rGaD,1,DOID:1459
240,hypothyroidism,Hypothyroidism disease term,Disease,D,GcG<rGdD,1,DOID:1459
241,hypothyroidism,Hypothyroidism disease term,Disease,D,GcG<rGuD,1,DOID:1459
242,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGaD,1,DOID:1459
243,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGaDrD,1,DOID:1459
244,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGbCpD,1,DOID:1459
245,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGbCtD,1,DOID:1459
246,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGcGaD,1,DOID:1459
247,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGcGdD,1,DOID:1459
248,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGcGuD,1,DOID:1459
249,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGdAlD,1,DOID:1459
250,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGdCpD,1,DOID:1459
251,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGdCtD,1,DOID:1459
252,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGdD,1,DOID:1459
253,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGdDrD,1,DOID:1459
254,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGeAlD,1,DOID:1459
255,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGiGaD,1,DOID:1459
256,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGiGdD,1,DOID:1459
257,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGiGuD,1,DOID:1459
258,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGr>GaD,1,DOID:1459
259,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGr>GdD,1,DOID:1459
260,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGr>GuD,1,DOID:1459
261,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGuAlD,1,DOID:1459
262,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGuCpD,1,DOID:1459
263,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGuCtD,1,DOID:1459
264,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGuD,1,DOID:1459
265,hypothyroidism,Hypothyroidism disease term,Disease,D,GcGuDrD,1,DOID:1459
266,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAdGaD,1,DOID:1459
267,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAdGdD,1,DOID:1459
268,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAdGuD,1,DOID:1459
269,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAeGaD,1,DOID:1459
270,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAeGdD,1,DOID:1459
271,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAeGuD,1,DOID:1459
272,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAlD,1,DOID:1459
273,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAlDrD,1,DOID:1459
274,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAuGaD,1,DOID:1459
275,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAuGdD,1,DOID:1459
276,hypothyroidism,Hypothyroidism disease term,Disease,D,GdAuGuD,1,DOID:1459
277,hypothyroidism,Hypothyroidism disease term,Disease,D,GdCbGaD,1,DOID:1459
278,hypothyroidism,Hypothyroidism disease term,Disease,D,GdCbGdD,1,DOID:1459
279,hypothyroidism,Hypothyroidism disease term,Disease,D,GdCbGuD,1,DOID:1459
280,hypothyroidism,Hypothyroidism disease term,Disease,D,GdCdGaD,1,DOID:1459
281,hypothyroidism,Hypothyroidism disease term,Disease,D,GdCdGdD,1,DOID:1459
282,hypothyroidism,Hypothyroidism disease term,Disease,D,GdCdGuD,1,DOID:1459
