z_original,z_mc_highb,z_analytical,selected_original,selected_mc_highb,selected_analytical,lv_id,feature_idx,length,n_active_strata,mean_analytical,std_analytical,mean_mc_highb,std_mc_highb,b_mc_highb
5.899871771414987,1.850946355957785,1.8048663107110732,True,True,True,LV57,210,3,5,0.950837726513766,0.22756632337250338,0.9482587927325683,0.2232942748223208,10000
,,,False,False,False,LV57,185,3,6,0.0,,0.0,,10000
0.1415496255419152,0.030350563176896016,0.030521411034592865,False,False,False,LV57,371,3,7,0.6784238336702277,0.13380116954771612,0.678435417664051,0.1341726832255862,10000
,,,False,False,False,LV57,337,3,8,0.0,,0.0,,10000
,,,False,False,False,LV57,331,3,8,0.0,,0.0,,10000
,,,False,False,False,LV57,268,3,8,0.0,,0.0,,10000
1.178003789050177,-2.973387069526431,-2.9635267144995106,False,False,False,LV246,93,3,8,3.3870903758370643,0.008774119773916369,3.3870839069829266,0.00874284742760458,10000
,,,False,False,False,LV57,380,3,7,0.0,,0.0,,10000
-1.2505316823218584,1.5431488711857229,1.5383404573857318,False,False,False,LV246,79,3,8,0.8869353725872973,0.11151837943003716,0.8865462049940054,0.11142308148175875,10000
-0.8207051434055327,-0.6264989834714204,-0.6228566911378545,False,False,False,LV57,224,3,7,0.050470352548451204,0.0810304412982228,0.05072185751480215,0.08096079778733747,10000
-1.8666720430682622,-0.6465135625880246,-0.6609766926896969,False,False,False,LV246,57,3,9,0.18294958228797575,0.1296698811915848,0.18003366446197033,0.12806050201646274,10000
-0.6846332495003596,-0.4057256048084454,-0.40645396681021595,False,False,False,LV603,441,3,8,0.02568728784242421,0.06319851678165139,0.026193137309130497,0.06455874856973107,10000
0.3872865311019681,1.0737789302361034,1.0486953672630426,False,False,False,LV57,339,3,8,0.5250351540767778,0.11055240148917199,0.5229080202365624,0.10995086772260863,10000
-1.665592934684384,0.678022218087241,0.6664132259002381,False,False,False,LV57,301,3,7,0.3175309654450639,0.08148062504598326,0.3169552678823471,0.08093460993474019,10000
1.4070114049997606,1.2808781051100644,1.3016517735573205,False,False,False,LV246,173,3,8,1.6852901637990365,0.12650687512442288,1.6876064873232561,0.12675021471674638,10000
,,,False,False,False,LV57,341,3,8,0.0,,0.0,,10000
